date;visitors;capacity
2022-02-21 00:00;0;70
2022-02-21 00:10;0;70
2022-02-21 00:20;0;70
2022-02-21 00:30;0;70
2022-02-21 00:40;0;70
2022-02-21 00:50;0;70
2022-02-21 01:00;0;70
2022-02-21 01:10;0;70
2022-02-21 01:20;0;70
2022-02-21 01:30;0;70
2022-02-21 01:40;0;70
2022-02-21 01:50;0;70
2022-02-21 02:00;0;70
2022-02-21 02:10;0;70
2022-02-21 02:20;0;70
2022-02-21 02:30;0;70
2022-02-21 02:40;0;70
2022-02-21 02:50;0;70
2022-02-21 03:00;0;70
2022-02-21 03:10;0;70
2022-02-21 03:20;0;70
2022-02-21 03:30;0;70
2022-02-21 03:40;0;70
2022-02-21 03:50;0;70
2022-02-21 04:00;0;70
2022-02-21 04:10;0;70
2022-02-21 04:20;0;70
2022-02-21 04:30;0;70
2022-02-21 04:40;0;70
2022-02-21 04:50;0;70
2022-02-21 05:00;0;70
2022-02-21 05:10;0;70
2022-02-21 05:20;0;70
2022-02-21 05:30;0;70
2022-02-21 05:40;0;70
2022-02-21 05:50;0;70
2022-02-21 06:00;0;70
2022-02-21 06:10;0;70
2022-02-21 06:20;0;70
2022-02-21 06:30;0;70
2022-02-21 06:40;0;70
2022-02-21 06:50;0;70
2022-02-21 07:00;0;70
2022-02-21 07:10;0;70
2022-02-21 07:20;0;70
2022-02-21 07:30;0;70
2022-02-21 07:40;0;70
2022-02-21 07:50;0;70
2022-02-21 08:00;1;70
2022-02-21 08:10;7;70
2022-02-21 08:20;10;70
2022-02-21 08:30;14;70
2022-02-21 08:40;15;70
2022-02-21 08:50;15;70
2022-02-21 09:00;16;70
2022-02-21 09:10;16;70
2022-02-21 09:20;17;70
2022-02-21 09:30;19;70
2022-02-21 09:40;21;70
2022-02-21 09:50;23;70
2022-02-21 10:00;23;70
2022-02-21 10:10;22;70
2022-02-21 10:20;25;70
2022-02-21 10:30;26;70
2022-02-21 10:40;29;70
2022-02-21 10:50;30;70
2022-02-21 11:00;28;70
2022-02-21 11:10;27;70
2022-02-21 11:20;24;70
2022-02-21 11:30;22;70
2022-02-21 11:40;24;70
2022-02-21 11:50;25;70
2022-02-21 12:00;27;70
2022-02-21 12:10;30;70
2022-02-21 12:20;34;70
2022-02-21 12:30;32;70
2022-02-21 12:40;32;70
2022-02-21 12:50;31;70
2022-02-21 13:00;27;70
2022-02-21 13:10;26;70
2022-02-21 13:20;24;70
2022-02-21 13:30;23;70
2022-02-21 13:40;21;70
2022-02-21 13:50;20;70
2022-02-21 14:00;18;70
2022-02-21 14:10;18;70
2022-02-21 14:20;13;70
2022-02-21 14:30;13;70
2022-02-21 14:40;12;70
2022-02-21 14:50;11;70
2022-02-21 15:00;13;70
2022-02-21 15:10;14;70
2022-02-21 15:20;19;70
2022-02-21 15:30;19;70
2022-02-21 15:40;20;70
2022-02-21 15:50;19;70
2022-02-21 16:00;21;70
2022-02-21 16:10;22;70
2022-02-21 16:20;25;70
2022-02-21 16:30;24;70
2022-02-21 16:40;25;70
2022-02-21 16:50;32;70
2022-02-21 17:00;37;70
2022-02-21 17:10;38;70
2022-02-21 17:20;40;70
2022-02-21 17:30;47;70
2022-02-21 17:40;49;70
2022-02-21 17:50;54;70
2022-02-21 18:00;57;70
2022-02-21 18:10;58;70
2022-02-21 18:20;54;70
2022-02-21 18:30;49;70
2022-02-21 18:40;50;70
2022-02-21 18:50;50;70
2022-02-21 19:00;54;70
2022-02-21 19:10;51;70
2022-02-21 19:20;52;70
2022-02-21 19:30;52;70
2022-02-21 19:40;50;70
2022-02-21 19:50;47;70
2022-02-21 20:00;41;70
2022-02-21 20:10;35;70
2022-02-21 20:20;39;70
2022-02-21 20:30;41;70
2022-02-21 20:40;37;70
2022-02-21 20:50;36;70
2022-02-21 21:00;36;70
2022-02-21 21:10;36;70
2022-02-21 21:20;34;70
2022-02-21 21:30;34;70
2022-02-21 21:40;30;70
2022-02-21 21:50;30;70
2022-02-21 22:00;16;70
2022-02-21 22:10;15;70
2022-02-21 22:20;12;70
2022-02-21 22:30;7;70
2022-02-21 22:40;0;70
2022-02-21 22:50;0;70
2022-02-21 23:00;0;70
2022-02-21 23:10;0;70
2022-02-21 23:20;0;70
2022-02-21 23:30;0;70
2022-02-21 23:40;0;70
2022-02-21 23:50;0;70
