date;visitors;
2020-06-10 11:40;39;
2020-06-10 11:42;35;
2020-06-10 11:50;24;
2020-06-10 12:00;23;
2020-06-10 12:10;32;
2020-06-10 12:20;33;
2020-06-10 12:30;34;
2020-06-10 12:40;33;
2020-06-10 12:50;36;
2020-06-10 13:00;32;
2020-06-10 13:10;30;
2020-06-10 13:20;23;
2020-06-10 13:30;17;
2020-06-10 13:40;21;
2020-06-10 13:50;21;
2020-06-10 14:00;23;
2020-06-10 14:10;24;
2020-06-10 14:20;28;
2020-06-10 14:30;28;
2020-06-10 14:40;31;
2020-06-10 14:50;37;
2020-06-10 15:00;43;
2020-06-10 15:10;42;
2020-06-10 15:20;43;
2020-06-10 15:30;46;
2020-06-10 15:40;47;
2020-06-10 15:50;46;
2020-06-10 16:00;48;
2020-06-10 16:10;51;
2020-06-10 16:17;56;
2020-06-10 16:20;55;
2020-06-10 16:30;52;
2020-06-10 16:32;50;
2020-06-10 16:37;50;
2020-06-10 16:40;50;
2020-06-10 16:50;50;
2020-06-10 17:00;52;
2020-06-10 17:10;52;
2020-06-10 17:20;59;
2020-06-10 17:30;71;
2020-06-10 17:30;71;
2020-06-10 17:33;71;
2020-06-10 17:34;70;
2020-06-10 17:36;70;
2020-06-10 17:40;64;
2020-06-10 17:50;69;
2020-06-10 18:00;82;
2020-06-10 18:10;79;
2020-06-10 18:20;81;
2020-06-10 18:30;74;
2020-06-10 18:40;79;
2020-06-10 18:50;84;
2020-06-10 19:00;76;
2020-06-10 19:10;74;
2020-06-10 19:20;74;
2020-06-10 19:30;74;
2020-06-10 19:40;65;
2020-06-10 19:50;63;
2020-06-10 20:00;55;
2020-06-10 20:10;58;
2020-06-10 20:20;52;
2020-06-10 20:30;53;
2020-06-10 20:40;58;
2020-06-10 20:50;61;
2020-06-10 21:00;57;
2020-06-10 21:10;52;
2020-06-10 21:20;46;
2020-06-10 21:30;44;
2020-06-10 21:40;41;
2020-06-10 21:50;40;
2020-06-10 22:00;26;
2020-06-10 22:10;23;
2020-06-10 22:20;18;
2020-06-10 22:30;15;
2020-06-10 22:40;13;
2020-06-10 22:50;11;
2020-06-10 23:00;11;
2020-06-10 23:10;0;
2020-06-10 23:20;0;
2020-06-10 23:30;0;
2020-06-10 23:40;0;
2020-06-10 23:50;0;
